Run	Pool	Barcode	Sample_ID	ID	Fail	Pass
GKF1FGD01	Jul-12-2010.1	AmpTag1	10101Vul1	S1-1	363	1366
GKF1FGD04	Jul-12-2010.1	AmpTag1	10101Vul1	S1-1	387	1269
GKF1FGD01	Jul-12-2010.1	AmpTag42	10102Vag1	S1-26	92	1129
GKF1FGD04	Jul-12-2010.1	AmpTag42	10102Vag1	S1-26	122	1138
GKF1FGD01	Jul-12-2010.1	AmpTag43	10102Vul1	S1-27	327	1135
GKF1FGD04	Jul-12-2010.1	AmpTag43	10102Vul1	S1-27	299	1198
GKF1FGD01	Jul-12-2010.1	AmpTag36	10103Vag1	S1-22	243	1198
GKF1FGD04	Jul-12-2010.1	AmpTag36	10103Vag1	S1-22	305	1172
GKF1FGD01	Jul-12-2010.1	AmpTag37	10103Vul1	S1-23	191	947
GKF1FGD04	Jul-12-2010.1	AmpTag37	10103Vul1	S1-23	234	936
GKF1FGD01	Jul-12-2010.1	AmpTag39	10104Vag1	S1-24	996	1183
GKF1FGD04	Jul-12-2010.1	AmpTag39	10104Vag1	S1-24	1245	1118
GKF1FGD01	Jul-12-2010.1	AmpTag40	10104Vul1	S1-25	511	969
GKF1FGD04	Jul-12-2010.1	AmpTag40	10104Vul1	S1-25	606	874
GWE6QG101	Jan-21-2011.1	AmpTag36	10105Vag1	S1-22	785	2745
GWE6QG101	Jan-21-2011.1	AmpTag72	10105Vul1	S1-50	1373	2473
HVCR0MB02	Sept-28-2012.set8	AmpTag1	10106Vag1	S1	173	2788
HVCR0MB03	Sept-28-2012.set8	AmpTag1	10106Vag1	S1	190	2571
HVCR0MB02	Sept-28-2012.set8	AmpTag3	10106Vul1	S2	402	4498
HVCR0MB03	Sept-28-2012.set8	AmpTag3	10106Vul1	S2	599	4076
HVCR0MB02	Sept-28-2012.set8	AmpTag4	10107Vul1	S3	333	4845
HVCR0MB03	Sept-28-2012.set8	AmpTag4	10107Vul1	S3	336	4345
HVCR0MB02	Sept-28-2012.set8	AmpTag5	10108Vag1	S4	190	3235
HVCR0MB03	Sept-28-2012.set8	AmpTag5	10108Vag1	S4	224	2766
HVCR0MB02	Sept-28-2012.set8	AmpTag6	10108Vul1	S5	226	3087
HVCR0MB03	Sept-28-2012.set8	AmpTag6	10108Vul1	S5	212	2586
HVCR0MB02	Sept-28-2012.set8	AmpTag7	10109Vag1	S6	209	3966
HVCR0MB03	Sept-28-2012.set8	AmpTag7	10109Vag1	S6	243	3246
HVCR0MB02	Sept-28-2012.set8	AmpTag9	10109Vul1	S7	215	2473
HVCR0MB03	Sept-28-2012.set8	AmpTag9	10109Vul1	S7	259	2348
HVCR0MB02	Sept-28-2012.set8	AmpTag10	10110Vag1	S8	219	3256
HVCR0MB03	Sept-28-2012.set8	AmpTag10	10110Vag1	S8	186	2770
HVCR0MB02	Sept-28-2012.set8	AmpTag12	10110Vul1	S9	243	2728
HVCR0MB03	Sept-28-2012.set8	AmpTag12	10110Vul1	S9	310	2574
HXJZE7102	Oct-26-2012.set10	AmpTag95	10111Vag1	S137	25	723
HXY4Z3X03	Oct-26-2012.set10	AmpTag95	10111Vag1	S137	264	3518
HXJZE7102	Oct-26-2012.set10	AmpTag96	10111Vul1	S138	39	687
HXY4Z3X03	Oct-26-2012.set10	AmpTag96	10111Vul1	S138	208	3025
H2KDO8T01	Larry_set_13	AmpTag100	10112Vag1	R139	158	4004
HXJZE7103	Oct-26-2012.set12	AmpTag100	10112Vag1	S139	245	2752
HXJZE7102	Oct-26-2012.set10	AmpTag101	10112Vul1	S140	82	633
HXY4Z3X03	Oct-26-2012.set10	AmpTag101	10112Vul1	S140	518	2684
HVCR0MB02	Sept-28-2012.set8	AmpTag15	10113Vag1	S10	224	3210
HVCR0MB03	Sept-28-2012.set8	AmpTag15	10113Vag1	S10	295	2999
HVCR0MB02	Sept-28-2012.set8	AmpTag18	10113Vul1	S11	469	2824
HVCR0MB03	Sept-28-2012.set8	AmpTag18	10113Vul1	S11	580	2949
HVCR0MB02	Sept-28-2012.set8	AmpTag19	10114Vag1	S12	172	3078
HVCR0MB03	Sept-28-2012.set8	AmpTag19	10114Vag1	S12	209	3000
HVCR0MB02	Sept-28-2012.set8	AmpTag20	10114Vul1	S13	278	2533
HVCR0MB03	Sept-28-2012.set8	AmpTag20	10114Vul1	S13	256	2376
GKF1FGD01	Jul-12-2010.1	AmpTag4	10201Vag1	S1-3	377	3264
GKF1FGD04	Jul-12-2010.1	AmpTag4	10201Vag1	S1-3	443	3098
GKF1FGD01	Jul-12-2010.1	AmpTag3	10201Vul1	S1-2	215	2014
GKF1FGD04	Jul-12-2010.1	AmpTag3	10201Vul1	S1-2	278	1866
GKF1FGD01	Jul-12-2010.1	AmpTag46	10202Vag2	S1-28	377	1308
GKF1FGD04	Jul-12-2010.1	AmpTag46	10202Vag2	S1-28	444	1169
GKF1FGD01	Jul-12-2010.1	AmpTag47	10202Vul1	S1-29	338	1001
GKF1FGD04	Jul-12-2010.1	AmpTag47	10202Vul1	S1-29	418	998
GKF1FGD01	Jul-12-2010.1	AmpTag49	10203Vag1	S1-30	419	1175
GKF1FGD04	Jul-12-2010.1	AmpTag49	10203Vag1	S1-30	531	1101
GKF1FGD01	Jul-12-2010.1	AmpTag50	10203Vul1	S1-31	151	1276
GKF1FGD04	Jul-12-2010.1	AmpTag50	10203Vul1	S1-31	241	1216
GWE6QG101	Jan-21-2011.1	AmpTag22	10204Vag1	S1-16	3086	3553
GWE6QG102	Jan-21-2011.2	AmpTag92	10204Vul1	S2-10	1029	4295
HCV1FVS03	Nov-23-2011.3	AmpTag47	10206Vag1	S1-50	28	0
HD4GLA003	Nov-23-2011.3	AmpTag47	10206Vag1	S1-50	23	0
HI5MWY002	Nov-23-2011.3	AmpTag47	10206Vag1	S1-50	1079	408
HNI8F1M02	Nov-23-2011.3	AmpTag47	10206Vag1	S1-50	373	3412
HCV1FVS03	Nov-23-2011.3	AmpTag49	10206Vul1	S1-51	9	1
HD4GLA003	Nov-23-2011.3	AmpTag49	10206Vul1	S1-51	9	0
HI5MWY002	Nov-23-2011.3	AmpTag49	10206Vul1	S1-51	444	128
HNI8F1M02	Nov-23-2011.3	AmpTag49	10206Vul1	S1-51	78	338
HCV1FVS03	Nov-23-2011.3	AmpTag50	10207Vag1	S1-52	17	27
HD4GLA003	Nov-23-2011.3	AmpTag50	10207Vag1	S1-52	41	2
HI5MWY002	Nov-23-2011.3	AmpTag50	10207Vag1	S1-52	1821	416
HNI8F1M02	Nov-23-2011.3	AmpTag50	10207Vag1	S1-52	83	2067
HCV1FVS03	Nov-23-2011.3	AmpTag51	10207Vul1	S1-53	68	28
HD4GLA003	Nov-23-2011.3	AmpTag51	10207Vul1	S1-53	33	1
HI5MWY002	Nov-23-2011.3	AmpTag51	10207Vul1	S1-53	1667	364
HNI8F1M02	Nov-23-2011.3	AmpTag51	10207Vul1	S1-53	87	1828
HCV1FVS03	Nov-23-2011.3	AmpTag52	10208Vag1	S1-54	32	16
HD4GLA003	Nov-23-2011.3	AmpTag52	10208Vag1	S1-54	21	1
HI5MWY002	Nov-23-2011.3	AmpTag52	10208Vag1	S1-54	1169	309
HNI8F1M02	Nov-23-2011.3	AmpTag52	10208Vag1	S1-54	166	2355
HCV1FVS03	Nov-23-2011.3	AmpTag53	10208Vul1	S1-55	58	11
HD4GLA003	Nov-23-2011.3	AmpTag53	10208Vul1	S1-55	32	3
