"","s.Bifido","s.GV","s.LC","s.LG","s.LI","s.LJ","s.Other","index","stat","p.value","Bifido","GV","LC","LG","LI","LJ","Other"
"Aerococcus",1,0,0,0,0,0,0,1,0.966832165347216,0.005,0.966832165347216,0.12039690650678,0.00529966219851058,0.0142591566406159,0.00990437587472048,0,0.037410408170776
"Anaerococcus",0,1,0,0,0,1,1,53,0.92553459729955,0.005,0,0.263140914131116,0.142629504622046,0.114755682130875,0.0945566777081123,0.116970363643497,0.903100837910717
"Anaerosphaera",0,1,0,0,0,1,1,53,0.849860573213515,0.005,0.0288979681562721,0.256397552811629,0.12900285652406,0.0652864069401072,0.0738688928778408,0.102405091047164,0.837837885847455
"Atopobium",0,1,0,0,0,0,0,2,0.771515296786523,0.01,0,0.771515296786523,0.0263367924913557,0.223942863489109,0.0193738092976098,0.00720350236261129,0.140069192920886
"Bifidobacterium",1,0,0,0,0,0,0,1,0.982015799936656,0.005,0.982015799936656,0.00300270547805197,0.00963965889680095,0.111395998732256,0.00954140874289614,0.00478966677541361,0.0788584449193479
"Campylobacter",0,0,0,0,0,0,1,7,0.83458258783288,0.005,0,0.153774108005637,0.0561651879126496,0.07575953736739,0.0478488692689749,0.0869046749961433,0.83458258783288
"Clostridiales",0,1,0,0,0,1,1,53,0.857882135455066,0.005,0,0.334388853761609,0.177087081956047,0.1249746447542,0.105848583322397,0.118758803363265,0.794913112309905
"Clostridiales_Incertae_Sedis_XI",0,0,0,0,0,0,1,7,0.827552107414475,0.005,0.0573284566600008,0.208477758807287,0.0935524338482124,0.0950476772083512,0.0611902981718531,0.0839820446082561,0.827552107414475
"Dialister",1,1,0,0,0,0,1,33,0.927560444646093,0.005,0.121255153582446,0.45605417037165,0.114527807319095,0.121926292124593,0.0789680117827408,0.0501579876988814,0.79818032052886
"Gardnerella_Other",0,1,0,0,0,0,0,2,0.934517880144426,0.005,0.00878339752960925,0.934517880144426,0.0241536986260447,0,0.0493440676340627,0.161728124758337,0.102113762704152
"Gardnerella_vaginalis",0,1,0,0,0,1,0,17,0.956116821038284,0.005,0,0.899109648844488,0.0456669262239374,0.00237815954284972,0.045652397397566,0.284367856993848,0.0593752583975074
"Lactobacillus_crispatus",0,0,1,0,0,0,0,3,0.932637870209016,0.005,0.0125167806979631,0.0204429862410475,0.932637870209016,0.0674842186084879,0.224840744752053,0.0726795109985925,0.0975887986480179
"Lactobacillus_gasseri",1,0,0,1,0,1,0,39,0.910491160385369,0.005,0.188553146720266,0.154948018112672,0.0563707437595565,0.864951443144217,0.169418941266265,0.0857674346933934,0.122640485763981
"Lactobacillus_iners",0,1,0,0,1,1,1,93,0.890937428706727,0.005,0,0.244010069407471,0.0934642255605722,0.0172889100129467,0.839500033101561,0.119047351356016,0.332663580761173
"Lactobacillus_jensenii",0,0,0,0,0,1,0,6,0.921388867385586,0.005,0,0.015748453052412,0.0890525695719138,0.151033596957417,0.114714224711378,0.921388867385586,0.0957401184539695
"Mobiluncus",0,1,0,0,0,0,1,18,0.770867471849393,0.005,0.0210630545136485,0.300373165249853,0.0284271714858086,0.0452824766483468,0.0194855611313704,0.0188013226459799,0.722894522906833
"Peptococcus",0,0,0,0,0,0,1,7,0.702868280952975,0.01,0,0.0996112662434616,0.0855171348374398,0.0146631559724461,0.0393068355566007,0,0.702868280952975
"Peptoniphilus",0,1,0,0,0,1,1,53,0.924559233513786,0.005,0.0274383574431647,0.320686769449315,0.163793922773633,0.112189955937465,0.0947107300571186,0.137890611724836,0.871067904234545
"Porphyromonas",0,0,0,0,0,0,1,7,0.793612818735208,0.01,0,0.172908296469065,0.077646647847383,0.0502154352028151,0.0938179161556491,0.0814150332790072,0.793612818735208
"Prevotella",0,1,0,0,0,1,1,53,0.939273801140658,0.005,0.0331720199071093,0.374935552171488,0.136827981506994,0.13603499864533,0.08411753268584,0.171258280343603,0.852334706421634
"Propionimicrobium",0,0,0,0,0,0,1,7,0.650559936811484,0.005,0,0.0973771932161848,0.0167496714112927,0.00823907477316457,0.0127575268801261,0,0.650559936811484
"Segniliparus",1,0,0,0,0,0,1,13,0.709155781014442,0.01,0.0889588305252284,0.126010647119864,0.150976326051339,0.122634182446105,0.0667327156850507,0.0552957931135851,0.702354770050568
"Veillonellaceae",1,1,0,0,0,0,1,33,0.698982716817697,0.005,0.100875246036284,0.59588248094301,0.0214818821674768,0.0102288620381642,0.0233280664239403,0,0.30099519426838
