"","s.girl.vag.post","s.girl.vag.pre","s.girl.vul.post","s.girl.vul.pre","index","stat","p.value","girl.vag.post","girl.vag.pre","girl.vul.post","girl.vul.pre"
"Actinomycetales",1,0,1,1,13,0.683884555967686,0.005,0.215043596489683,0.157338016943286,0.481146142406514,0.471555761894537
"Anaerococcus",0,1,1,1,14,0.873128261824553,0.005,0.120507344605198,0.462849173879624,0.29577039777193,0.684190387504501
"Anaerosphaera",0,1,1,1,14,0.771996260951871,0.005,0.0898336828833925,0.333116006764642,0.342903566247339,0.62409862060465
"Anaerovorax",0,1,1,1,14,0.503097633701813,0.005,0.0440942434673534,0.199167525824528,0.187589567764355,0.4629123887793
"Campylobacter",0,1,1,1,14,0.663448898057658,0.005,0.0508829573375451,0.301352282669853,0.226552765343347,0.57679471705644
"Clostridiales",0,1,1,1,14,0.805221115867484,0.005,0.115167825002573,0.32631479256308,0.370152289218713,0.667499653480558
"Clostridiales_Incertae_Sedis_XI",0,1,1,1,14,0.747612757548987,0.005,0.0436599097957811,0.3634813110931,0.241525807538711,0.627662418838761
"Corynebacterium",0,1,1,1,14,0.782013285898553,0.005,0.160750801743501,0.267973894040183,0.554530915600945,0.527678591210296
"Dialister",0,1,1,1,14,0.818433948753708,0.005,0.146072713489313,0.340268908203538,0.51716129908335,0.554341294779627
"Facklamia",0,1,1,1,14,0.572096799800849,0.005,0.00539294000608273,0.263890915332118,0.169043918908082,0.522492271082657
"Fusobacterium",0,0,1,1,10,0.577476314594366,0.005,0.0324891216872261,0.0775401674761711,0.459101289784346,0.295851593501728
"Gallicola",0,1,1,1,14,0.599571588945639,0.005,0.023945676646322,0.254636395559713,0.200388056101603,0.548009735100668
"Mobiluncus",0,1,0,1,9,0.605406303653003,0.005,0.0319161867370883,0.274661065678818,0.110791846811671,0.575334477236736
"Murdochiella",0,0,1,1,10,0.589980098600923,0.005,0.0511574896209468,0.141251350943917,0.41681255638852,0.409412570620651
"Peptococcus",0,1,1,1,14,0.540016640400121,0.005,0.0377461558781421,0.270587899499613,0.19223577000981,0.420458285350274
"Peptoniphilus",0,1,1,1,14,0.878187244336705,0.005,0.106248320191665,0.386007201890029,0.383011877848496,0.706071682568704
"Porphyromonadaceae",0,1,1,1,14,0.529129886191083,0.005,0.0442127660571124,0.258135156649801,0.189541580244253,0.447430118169989
"Porphyromonas",0,1,1,1,14,0.682415888443265,0.005,0.0581273250423959,0.303720462253126,0.270868268504279,0.579171570003547
"Prevotella",0,1,1,1,14,0.903963176564561,0.005,0.130505232699176,0.410106013319802,0.415533033967878,0.707470282638161
"Segniliparus",0,0,1,1,10,0.608816484265867,0.005,0.172940835233141,0.163372244225301,0.474967463342029,0.390233100260136
"Staphylococcus",1,0,1,1,13,0.604049712637107,0.005,0.201560156050203,0.149202901875818,0.473423631031716,0.355884472416164
"Streptococcus_Other",0,1,1,1,14,0.566585482098107,0.005,0.129308924364833,0.264422786485478,0.241907643664134,0.44381069890464
"Varibaculum",0,1,1,1,14,0.562156498852273,0.005,0.0471506401632173,0.25131063955809,0.186740276731663,0.504783412882035
